page_one_based,chapter,chapter_page_one_based,chapter_title,path,bytes,sha256,width,height,nonwhite_pixels_below_250,nonwhite_fraction,content_bbox,touches_image_edge
84,60,39,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-084.png,265394,D973DE05B659FB6F3307C5350252EB0D76B894268CF9C2E849380D5E67D87254,1020,1320,75186,0.05584225,"138,161,882,1168",false
85,60,40,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-085.png,297052,A8B3BE830F398FE9D3EE0AF3A685D5B2FBDD96E78F5D542B7E72F5C4E2FDB490,1020,1320,81178,0.06029263,"137,161,882,1170",false
86,60,41,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-086.png,315404,5565B15D55BFE3E9539DFCFC2379B787D63D9209078254955BB73BD153833037,1020,1320,87101,0.06469177,"138,161,882,1166",false
87,60,42,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-087.png,323480,4426D4106C555B45308E3B28F054699E2113C3303D2465C8032D301159A24409,1020,1320,91103,0.06766414,"138,161,882,1165",false
88,60,43,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-088.png,427077,A5E53411FC1996FAAA778ECDBBE204F60C698A994426CDED09CD2D87630181CD,1020,1320,122862,0.09125223,"138,161,882,1168",false
89,60,44,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-089.png,341496,87CB3E22A7390254911551CBFBCAFDE25B007D3C286904F6CF4E9688CBECCA1B,1020,1320,94299,0.07003788,"138,161,882,1168",false
90,60,45,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-090.png,339211,A5B56890491E1B45F5F9B397BB61C87F3F34A997344318AB2BAC73BB70A277B1,1020,1320,94328,0.07005942,"138,161,882,1169",false
91,60,46,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-091.png,343708,11A2C47377CFF6588A7FD67D82793E497CE6CD0FAB71BA41C7196F9013FAE4D8,1020,1320,96570,0.07172460,"138,161,882,1166",false
92,60,47,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-092.png,276369,8E9561973E468891CDF89A67F33706D82F54C29304A805A9B4ADE4D53E5D9ED0,1020,1320,76377,0.05672683,"138,161,882,1165",false
93,60,48,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-093.png,253259,4E439618889EF5BDFF609025937D4F097BFC2BE9B4DE9D78FBB1AE5E9881902E,1020,1320,71727,0.05327317,"138,161,882,1168",false
