full_label	tag	aux_document	local_label	value_source
stacks-properties-lemma-UR-quasi-compact-above-x	0DTK	stacks-properties	lemma-UR-quasi-compact-above-x	permanent_tag
stacks-properties-remark-local-source-apply	06M5	stacks-properties	remark-local-source-apply	permanent_tag
stacks-properties-remark-representable-over	04ZQ	stacks-properties	remark-representable-over	permanent_tag
stacks-properties-remark-stack-structure-locally-closed-subset	06FK	stacks-properties	remark-stack-structure-locally-closed-subset	permanent_tag
stacks-properties-section-conventions	04XA	stacks-properties	section-conventions	permanent_tag
stacks-properties-section-points	04XE	stacks-properties	section-points	permanent_tag
stacks-properties-section-properties-morphisms	04XB	stacks-properties	section-properties-morphisms	permanent_tag
stacks-properties-section-reduced	0508	stacks-properties	section-reduced	permanent_tag
stacks-properties-section-residual-gerbe	06ML	stacks-properties	section-residual-gerbe	permanent_tag
stacks-properties-section-surjective	04ZR	stacks-properties	section-surjective	permanent_tag
stacks-properties-section-types-properties	04YE	stacks-properties	section-types-properties	permanent_tag
stacks-section-the-inertia-stack	036X	stacks	section-the-inertia-stack	permanent_tag
topology-definition-generic-point	004X	topology	definition-generic-point	permanent_tag
topology-definition-spectral-space	08YG	topology	definition-spectral-space	permanent_tag
topology-definition-submersive	0406	topology	definition-submersive	permanent_tag
topology-lemma-image-Noetherian	04Z8	topology	lemma-image-Noetherian	permanent_tag
topology-lemma-Noetherian	0052	topology	lemma-Noetherian	permanent_tag
topology-lemma-quasi-compact-locally-Noetherian-Noetherian	04ZB	topology	lemma-quasi-compact-locally-Noetherian-Noetherian	permanent_tag
topology-lemma-surjective-continuous-irreducible-components	0GM2	topology	lemma-surjective-continuous-irreducible-components	permanent_tag
varieties-lemma-algebraic-scheme-dim-0	06LH	varieties	lemma-algebraic-scheme-dim-0	permanent_tag
varieties-lemma-smooth-regular	056S	varieties	lemma-smooth-regular	permanent_tag
varieties-lemma-smooth-separable-closed-points-dense	056U	varieties	lemma-smooth-separable-closed-points-dense	permanent_tag
varieties-proposition-unique-base-field	04MK	varieties	proposition-unique-base-field	permanent_tag
